task,accuracy
boolean_expressions,0.644
causal_judgement,0.48128342245989303
date_understanding,0.432
disambiguation_qa,0.276
dyck_languages,0.252
formal_fallacies,0.484
geometric_shapes,0.108
hyperbaton,0.516
logical_deduction_five_objects,0.272
logical_deduction_seven_objects,0.168
logical_deduction_three_objects,0.392
movie_recommendation,0.416
multistep_arithmetic_two,0.012
navigate,0.58
object_counting,0.376
penguins_in_a_table,0.3219178082191781
reasoning_about_colored_objects,0.244
ruin_names,0.252
salient_translation_error_detection,0.184
snarks,0.550561797752809
sports_understanding,0.56
temporal_sequences,0.136
tracking_shuffled_objects_five_objects,0.212
tracking_shuffled_objects_seven_objects,0.128
tracking_shuffled_objects_three_objects,0.34
web_of_lies,0.512
word_sorting,0.1
