task,accuracy
boolean_expressions,0.016
causal_judgement,0.33689839572192515
date_understanding,0.464
disambiguation_qa,0.0
dyck_languages,0.0
formal_fallacies,0.0
geometric_shapes,0.0
hyperbaton,0.148
logical_deduction_five_objects,0.0
logical_deduction_seven_objects,0.004
logical_deduction_three_objects,0.016
movie_recommendation,0.0
multistep_arithmetic_two,0.0
navigate,0.372
object_counting,0.012
penguins_in_a_table,0.0
reasoning_about_colored_objects,0.104
ruin_names,0.0
salient_translation_error_detection,0.0
snarks,0.0
sports_understanding,0.024
temporal_sequences,0.0
tracking_shuffled_objects_five_objects,0.0
tracking_shuffled_objects_seven_objects,0.0
tracking_shuffled_objects_three_objects,0.0
web_of_lies,0.0
word_sorting,0.0
