task,accuracy
boolean_expressions,0.788
causal_judgement,0.5454545454545454
date_understanding,0.548
disambiguation_qa,0.46
dyck_languages,0.18
formal_fallacies,0.48
geometric_shapes,0.316
hyperbaton,0.696
logical_deduction_five_objects,0.368
logical_deduction_seven_objects,0.412
logical_deduction_three_objects,0.52
movie_recommendation,0.84
multistep_arithmetic_two,0.008
navigate,0.58
object_counting,0.468
penguins_in_a_table,0.4657534246575342
reasoning_about_colored_objects,0.376
ruin_names,0.456
salient_translation_error_detection,0.296
snarks,0.5449438202247191
sports_understanding,0.752
temporal_sequences,0.14
tracking_shuffled_objects_five_objects,0.156
tracking_shuffled_objects_seven_objects,0.12
tracking_shuffled_objects_three_objects,0.28
web_of_lies,0.512
word_sorting,0.528
