task,accuracy
boolean_expressions,0.696
causal_judgement,0.48663101604278075
date_understanding,0.788
disambiguation_qa,0.536
dyck_languages,0.38
formal_fallacies,0.496
geometric_shapes,0.22
hyperbaton,0.528
logical_deduction_five_objects,0.404
logical_deduction_seven_objects,0.36
logical_deduction_three_objects,0.42
movie_recommendation,0.728
multistep_arithmetic_two,0.02
navigate,0.58
object_counting,0.344
penguins_in_a_table,0.4452054794520548
reasoning_about_colored_objects,0.232
ruin_names,0.292
salient_translation_error_detection,0.376
snarks,0.5449438202247191
sports_understanding,0.212
temporal_sequences,0.148
tracking_shuffled_objects_five_objects,0.14
tracking_shuffled_objects_seven_objects,0.1
tracking_shuffled_objects_three_objects,0.324
web_of_lies,0.512
word_sorting,0.128
