task,accuracy
boolean_expressions,0.436
causal_judgement,0.0
date_understanding,0.124
disambiguation_qa,0.072
dyck_languages,0.0
formal_fallacies,0.0
geometric_shapes,0.0
hyperbaton,0.316
logical_deduction_five_objects,0.044
logical_deduction_seven_objects,0.008
logical_deduction_three_objects,0.044
movie_recommendation,0.0
multistep_arithmetic_two,0.0
navigate,0.0
object_counting,0.204
penguins_in_a_table,0.0
reasoning_about_colored_objects,0.0
ruin_names,0.0
salient_translation_error_detection,0.0
snarks,0.11235955056179775
sports_understanding,0.0
temporal_sequences,0.0
tracking_shuffled_objects_five_objects,0.104
tracking_shuffled_objects_seven_objects,0.052
tracking_shuffled_objects_three_objects,0.072
web_of_lies,0.0
word_sorting,0.004
