task,accuracy
boolean_expressions,0.372
causal_judgement,0.577540106951872
date_understanding,0.42
disambiguation_qa,0.012
dyck_languages,0
formal_fallacies,0.532
geometric_shapes,0
hyperbaton,0.124
logical_deduction_five_objects,0.124
logical_deduction_seven_objects,0.116
logical_deduction_three_objects,0.1
movie_recommendation,0.016
multistep_arithmetic_two,0.004
navigate,0.544
object_counting,0
penguins_in_a_table,0.232876712328767
reasoning_about_colored_objects,0.032
ruin_names,0.004
salient_translation_error_detection,0.06
snarks,0.123595505617978
sports_understanding,0
temporal_sequences,0.012
tracking_shuffled_objects_five_objects,0.04
tracking_shuffled_objects_seven_objects,0.04
tracking_shuffled_objects_three_objects,0.068
web_of_lies,0.196
word_sorting,0.052
,0.140815271292541
